permno,ticker,cik,business_name
13404,BGSC,1532700,Bgs Acquisition Corp.
13406,EVAC,1544175,Edwards Group Ltd
13408,IRG,1526796,"Ignite Restaurant Group, Inc."
13409,RMGN,1512074,Rmg Networks Holding Corp
13411,TROV,1213037,Trovagene Inc.
13412,IDEX,837852,"Ideanomics, Inc."
13425,CNCO,1544856,Cencosud S.A.
13431,CTR,1547341,Clearbridge Energy Mlp Total Return Fund Inc.
88903,AMOV,1129137,America Movil Sab De Cv/
13438,GSV,1321847,Gold Standard Ventures Corp.
13453,CEMI,1092662,Chembio Diagnostics Inc.
13454,EXA,890264,Exa Corp
13455,BURG,1106838,"Chanticleer Holdings, Inc."
13470,AMAC,700721,American Medical Alert Corp
13500,AMRE,1397807,"Reitplus, Inc."
13508,NGVC,1547459,"Natural Grocers By Vitamin Cottage, Inc."
13520,CHUY,1524931,"Chuy'S Holdings, Inc."
13521,CPAH,1236997,Counterpath Corp
13524,DFRG,1415301,"Del Frisco'S Restaurant Group, Llc"
13525,DRTX,1544116,"Durata Therapeutics, Inc."
13526,EOPN,1540400,E2Open Inc
13528,FSBW,1530249,"Fs Bancorp, Inc."
13529,GTWN,1542299,"Georgetown Bancorp, Inc."
13532,HBMD,1390162,Howard Bancorp Inc
13533,HPTX,1386858,Hyperion Therapeutics Inc
13535,KYAK,1312928,Kayak Software Corp
13536,PGRX,1477032,Prospect Global Resources Inc.
13537,TAX,1528930,"Jth Holding, Inc."
13546,SVLC,1275166,Silvercrest Mines Inc
13551,ELOQ,1375271,Eloqua Ltd
13552,HPAC,1519817,Hyde Park Acquisition Corp. Ii
13554,LVNTB,1355096,Liberty Interactive Corp
13556,MNGA,1353487,4307 Inc
13559,PFMT,1550695,Performant Financial Corp
13560,PSMI,880177,Peregrine Semiconductor Corp
13561,SFBC,1541119,"Sound Financial Bancorp, Inc."
13564,USMD,1507881,"Usmd Holdings, Inc."
13596,CMGE,1528752,China Mobile Games & Entertainment Group Ltd
13597,GLRI,1597131,Multiple Result Found
13599,LFVN,849146,Lifevantage Corp
13603,AMPH,724024,American Physicians Service Group Inc
13614,JMI,1552890,Javelin Mortgage Investment Corp.
13615,CAPL,1538849,Multiple Result Found
13617,LXFR,1096056,Luxfer Holdings Plc
13631,ANFI,1552448,Multiple Result Found
13636,MESG,1549872,"Xura, Inc."
13639,COA,1322232,Coastal Contacts Inc
13640,CUNB,1543643,Cu Bancorp
13642,HBK,1551739,"Hamilton Bancorp, Inc."
13648,APEN,1369432,Apollo Endosurgery Inc
13649,MCBK,1547635,"Madison County Financial, Inc."
13650,MRCC,1512931,Multiple Result Found
13655,RLJE,1546381,"Rlj Entertainment, Inc."
13658,XPLR,1177845,Multiple Result Found
13680,LND,1499849,Brasilagro - Brazilian Agricultural Real Estate Co
13681,DKL,1552797,"Delek Logistics Partners, Lp"
13691,SXE,1547638,"Southcross Energy Partners, L.P."
13692,SCM,1551901,Stellus Capital Investment Corp
13693,ATOS,1488039,Atossa Genetics Inc
13694,CHMG,763563,Chemung Financial Corp
13695,MEIL,1436549,Methes Energies International Ltd
13698,OFS,1487918,Ofs Capital Corp
13699,PBCP,1528610,Polonia Bancorp Inc
13700,WHLR,1527541,"Wheeler Real Estate Investment Trust, Inc."
13702,DSKX,1463959,"Ds Healthcare Group, Inc."
13703,JACQ,1548281,Collabrium Japan Acquisition Corp
13705,PLPM,1362925,Planet Payment Inc
13707,RDHL,1553846,Redhill Biopharma Ltd.
13708,REMY,1046859,Delco Remy International Inc
13712,UIHC,1401521,United Insurance Holdings Corp.
13714,WHF,1552198,"Whitehorse Finance, Llc"
90780,AOB,1090514,American Oriental Bioengineering Inc
13743,ERA,1525221,Era Group Inc.
13744,FLAG,897509,Multiple Result Found
13750,ACST,1444192,Acasti Pharma Inc.
13751,KBSF,1546383,Kbs Fashion Group Ltd
13754,IMCB,1284506,Intermountain Community Bancorp
13755,KBIO,1293310,Kalobios Pharmaceuticals Inc
13756,LAND,1495240,Gladstone Land Corp
13759,LPDX,1168197,Liposcience Inc
13761,STML,1264587,Stemline Therapeutics Inc
13765,BIT,1562818,Blackrock Fixed Income Strategic Opportunities
13769,AMS,744825,American Shared Hospital Services
14555,ARAV,1513818,"Aravive, Inc."
13773,NSLP,1490902,"Source Energy Partners, L.P."
13775,ORC,1518621,"Orchid Island Capital, Inc."
13777,AMSWA,713425,American Software Inc
18099,ARCE,1740594,Arco Platform Ltd.
13789,AFH,1539894,"Atlas Financial Holdings, Inc."
13790,CACG,1527349,Chart Acquisition Corp.
13791,CNOB,1462694,"North Jersey Community Bancorp, Inc."
13794,HIIQ,1561387,"Health Insurance Innovations, Inc."
13796,IMMY,1360214,"Imprimis Pharmaceuticals, Inc."
13797,INBK,1562463,First Internet Bancorp
13798,ORMP,1176309,Oramed Pharmaceuticals Inc.
13807,MIE,1564216,Cohen & Steers Mlp & Energy Income Fund
13808,ETX,1563696,Eaton Vance Municipal Income Term Trust
13812,MRIN,1389002,Marin Software Inc
13816,MODN,1118417,Model N Inc
18190,AXNX,1603756,"Axonics Modulation Technologies, Inc."
13826,GARS,1509892,Garrison Capital Inc.
13827,ZAIS,1562214,"Zais Group Holdings, Inc."
13828,IPDN,1546296,"Professional Diversity Network, Inc."
13844,NSPR,1433607,"Saguaro Resources, Inc."
13858,RALY,1313911,Rally Software Development Corp
13867,KNOP,1564180,Knot Offshore Partners Lp
13869,SAUC,1394156,"Diversified Restaurants Holding, Inc."
13874,FWM,1555492,Fairway Group Holdings Corp
13876,HMTV,1567345,"Hemisphere Media Group, Inc."
13879,MICT,854800,"Mict, Inc."
13882,OMTH,1477598,"Omthera Pharmaceuticals, Inc."
13885,WBB,1553326,"Westbury Bancorp, Inc."
13886,ARPI,1548981,"American Residential Properties, Inc."
13887,AHH,1569187,"Armada Hoffler Properties, Inc."
13891,CYNI,1391636,Cyan Inc
13894,EARN,1560672,Ellington Residential Mortgage Reit
13896,FCSC,357097,"Fibrocell Science, Inc."
13903,BRSS,1533526,"Global Brass & Copper Holdings, Inc."
13918,ARCT,1566049,Arcturus Therapeutics Ltd.
13920,AMBI,1131543,Ambit Biosciences Corp
13923,DXM,1284529,Dex Media Inc
13927,HCAP,1559909,Harvest Capital Credit Corp
13930,KMDA,1567529,Kamada Ltd
13931,MAMS,832488,"Mam Software Group, Inc."
13934,FNBC,1496631,First Nbc Bank Holding Co
13935,NRC,70487,National Research Corp
13938,OTEL,1288359,Otelco Inc.
13939,PSIX,1137091,Format Inc
13943,TSC,1380846,Tristate Capital Holdings Inc
13946,FTEO,1550935,"Ubic, Inc."
13958,MWRX,1571088,Mergeworthrx Corp.
13962,NSTG,1401708,Nanostring Technologies Inc
13965,OHRP,1173281,Ohr Pharmaceutical Inc
13966,PETX,1509190,"Aratana Therapeutics, Inc."
13969,SAMG,1549966,Silvercrest Asset Management Group Inc.
13970,THST,1564709,"Truett-Hurst, Inc."
13976,AIRI,1009891,Multiple Result Found
13977,BIOA,1534287,Bioamber Inc.
13987,PW,1532619,Power Reit
13999,LITB,1523836,"Lightinthebox Holding Co., Ltd."
14006,TLRA,1375796,"Telaria, Inc."
14019,GRAM,1572621,Grana & Montero S.A.A.
14026,JONE,1573166,"Jones Energy, Inc."
14033,ONVO,1497253,"Organovo Holdings, Inc."
14034,ORM,1556364,"Owens Realty Mortgage, Inc."
14042,UCP,1572684,"Ucp, Llc"
14043,WCIC,1574532,"Wci Communities, Inc."
14045,LIND,1512499,Capitol Acquisition Corp. Ii
14046,CNAT,1383701,Multiple Result Found
14049,AZUR,1575599,"Marlin Midstream Partners, Lp"
14050,OCSI,1577791,Oaktree Strategic Income Corp
14051,HTBX,1476963,"Heat Biologics, Inc."
14052,ICEL,1482080,"Cellular Dynamics International, Inc."
14053,LIQD,1562594,Liquid Holdings Group Llc
14056,ONTX,1130598,Onconova Therapeutics Inc
14060,XGTI,1565228,"Xg Technology, Inc."
14077,QEPM,1576044,"Qep Midstream Partners, Lp"
14086,WPT,1574963,"World Point Terminals, Lp"
14087,YUME,1415624,Yume Inc
14092,ASC,1577437,Ardmore Shipping Corp
14093,GLG,1556266,China Commercial Credit Inc
14094,CGIX,1349929,Cancer Genetics Inc
14095,CTRL,1259515,Multiple Result Found
14099,MBII,1441693,Marrone Bio Innovations Inc
14101,TBRA,1409690,Tobira Therapeutics Inc
14105,SPHS,1563855,Sophiris Bio Inc.
14107,TNXP,1430306,Tonix Pharmaceuticals Holding Corp.
14133,NNVC,1379006,"Nanoviricides, Inc."
14134,CINR,1575051,Ciner Resources Lp
14135,PED,1141197,Pedevco Corp
14143,VMEM,1407190,Violin Memory Inc
14148,BIND,1385228,"Bind Therapeutics, Inc"
14150,COVS,1563699,Covisint Corp
14151,CPTA,1571329,Capitala Finance Corp.
14152,CRRS,943110,"Corporate Resource Services, Inc."
14153,EAGL,1575988,Silver Eagle Acquisition Corp.
14157,ENZY,1578809,Enzymotec Ltd.
14158,EVOK,1403708,Evoke Pharma Inc
14165,MONT,1375514,Montage Technology Group Ltd
14172,PPSI,1449792,"Pioneer Power Solutions, Inc."
14173,JASN,1579252,"Jason Industries, Inc."
14174,SQBG,1648428,"Singer Madeline Holdings, Inc."
14175,TCFC,855874,Tri County Financial Corp /Md/
14183,CHMI,1571776,Cherry Hill Mortgage Investment Corp
10779,BKTI,2186,"Bk Technologies, Inc."
91437,KAZ,924805,Bmb Munai Inc
14219,ANLY,6292,Analysts International Corp
14227,ANEN,6314,Anaren Microwave Inc
14228,SRLP,1525287,Sprague Resources Lp
14230,SGM,1454389,Stonegate Mortgage Corp
14232,VJET,1582581,Voxeljet Ag
14236,ABGB,1161785,Abengoa Sa
14237,ADXS,1100397,"Advaxis, Inc."
14246,FNRG,1407268,Forcefield Energy Inc.
14253,BSTG,1563665,"Biostage, Inc."
14254,ICLD,1128725,"Intercloud Systems, Inc."
14258,PBPB,1195734,Potbelly Corp
14262,SRNE,850261,Quikbyte Software Inc
14263,VCYT,1384101,"Veracyte, Inc."
14266,AMZG,1282613,American Eagle Energy Corp
14267,ARCX,1583744,Arc Logistics Partners Lp
14268,BHR,1574085,Braemar Hotels & Resorts Inc.
14272,CANF,1536196,Can-Fite Biopharma Ltd.
14278,HFIN,46591,Heights Finance Corp
14288,JGW,1580185,Wentworth Financial Holdings Inc.
14289,LBMH,17485,"Liberator Medical Holdings, Inc."
14290,MVNR,1361470,Mavenir Systems Inc
14291,MEP,1578685,"Midcoast Energy Partners, L.P."
14292,NCFT,1582616,"Norcraft Companies, Inc."
14298,BCRH,1582086,Blue Capital Reinsurance Holdings Ltd.
14300,EVGN,1574565,Evogene Ltd.
14302,BANX,1578987,Stonecastle Financial Corp.
14303,BYLK,275119,Baylake Corp
14308,DLNG,1578453,Dynagas Lng Partners Lp
81121,BSY,932789,British Sky Broadcasting Group Plc
14311,GOMO,1584133,Sungy Mobile Ltd
14313,IPWR,1507957,Ideal Power Inc.
